lambda_min	1.000000e+04
lambda_max	4.500000e+04
Warning:  Question (t) does not match word (lambda_min) in file. Continuing!
Warning:  Question (t) does not match word (lambda_max) in file. Continuing!
t	1.000000e+04
         0    0.00      inf
Boundary 0.000360
    734000    7.34   8.53e-07
    735000    7.35   8.53e-07
    736000    7.36   8.53e-07
    737000    7.37   8.53e-07
    738000    7.38   8.53e-07
    739000    7.39   8.53e-07
    740000    7.40   8.53e-07
    741000    7.41   8.52e-07
    742000    7.42   8.52e-07
    743000    7.43   8.52e-07
    744000    7.44   8.52e-07
    745000    7.45   8.52e-07
    746000    7.46   8.52e-07
    747000    7.47   8.52e-07
    748000    7.48   8.52e-07
    749000    7.49   8.52e-07
    750000    7.50   8.52e-07
    751000    7.51   8.52e-07
    752000    7.52   8.52e-07
    753000    7.53   8.52e-07
    754000    7.54   8.52e-07
    755000    7.55   8.51e-07
    756000    7.56   8.51e-07
    757000    7.57   8.51e-07
    758000    7.58   8.51e-07
    759000    7.59   8.51e-07
    760000    7.60   8.51e-07
    761000    7.61   8.51e-07
    762000    7.62   8.51e-07
    763000    7.63   8.51e-07
    764000    7.64   8.51e-07
    765000    7.65   8.51e-07
    766000    7.66   8.51e-07
    767000    7.67   8.51e-07
    768000    7.68   8.51e-07
    769000    7.69   8.50e-07
    770000    7.70   8.50e-07
    771000    7.71   8.50e-07
    772000    7.72   8.50e-07
    773000    7.73   8.50e-07
    774000    7.74   8.50e-07
    775000    7.75   8.50e-07
    776000    7.76   8.50e-07
    777000    7.77   8.50e-07
    778000    7.78   8.50e-07
    779000    7.79   8.50e-07
    780000    7.80   8.50e-07
    781000    7.81   8.50e-07
    782000    7.82   8.50e-07
    783000    7.83   8.50e-07
    784000    7.84   8.49e-07
    785000    7.85   8.49e-07
    786000    7.86   8.49e-07
    787000    7.87   8.49e-07
    788000    7.88   8.49e-07
    789000    7.89   8.49e-07
    790000    7.90   8.49e-07
    791000    7.91   8.49e-07
    792000    7.92   8.49e-07
    793000    7.93   8.49e-07
    794000    7.94   8.49e-07
    795000    7.95   8.49e-07
    796000    7.96   8.49e-07
    797000    7.97   8.49e-07
    798000    7.98   8.49e-07
    799000    7.99   8.49e-07
    800000    8.00   8.49e-07
    801000    8.01   8.48e-07
    802000    8.02   8.48e-07
    803000    8.03   8.48e-07
    804000    8.04   8.48e-07
    805000    8.05   8.48e-07
    806000    8.06   8.48e-07
    807000    8.07   8.48e-07
    808000    8.08   8.48e-07
    809000    8.09   8.48e-07
    810000    8.10   8.48e-07
    811000    8.11   8.48e-07
    812000    8.12   8.48e-07
    813000    8.13   8.48e-07
    814000    8.14   8.48e-07
    815000    8.15   8.48e-07
    816000    8.16   8.48e-07
    817000    8.17   8.48e-07
    818000    8.18   8.47e-07
    819000    8.19   8.47e-07
    820000    8.20   8.47e-07
    821000    8.21   8.47e-07
    822000    8.22   8.47e-07
    823000    8.23   8.47e-07
    824000    8.24   8.47e-07
    825000    8.25   8.47e-07
    826000    8.26   8.47e-07
    827000    8.27   8.47e-07
    828000    8.28   8.47e-07
    829000    8.29   8.47e-07
    830000    8.30   8.47e-07
    831000    8.31   8.47e-07
    832000    8.32   8.47e-07
    833000    8.33   8.47e-07
    834000    8.34   8.47e-07
    835000    8.35   8.47e-07
    836000    8.36   8.47e-07
    837000    8.37   8.47e-07
    838000    8.38   8.47e-07
    839000    8.39   8.47e-07
    840000    8.40   8.47e-07
    841000    8.41   8.47e-07
    842000    8.42   8.46e-07
    843000    8.43   8.46e-07
    844000    8.44   8.46e-07
    845000    8.45   8.46e-07
    846000    8.46   8.46e-07
    847000    8.47   8.46e-07
    848000    8.48   8.46e-07
    849000    8.49   8.46e-07
    850000    8.50   8.46e-07
    851000    8.51   8.46e-07
    852000    8.52   8.46e-07
    853000    8.53   8.46e-07
    854000    8.54   8.46e-07
    855000    8.55   8.46e-07
    856000    8.56   8.46e-07
    857000    8.57   8.46e-07
    858000    8.58   8.46e-07
    859000    8.59   8.46e-07
    860000    8.60   8.46e-07
    861000    8.61   8.45e-07
    862000    8.62   8.45e-07
    863000    8.63   8.45e-07
    864000    8.64   8.45e-07
    865000    8.65   8.45e-07
    866000    8.66   8.45e-07
    867000    8.67   8.45e-07
    868000    8.68   8.45e-07
    869000    8.69   8.45e-07
    870000    8.70   8.45e-07
    871000    8.71   8.45e-07
    872000    8.72   8.45e-07
    873000    8.73   8.45e-07
    874000    8.74   8.45e-07
    875000    8.75   8.45e-07
    876000    8.76   8.45e-07
    877000    8.77   8.45e-07
    878000    8.78   8.45e-07
